날짜,종가,오픈,고가,저가,거래량,변동 %
2020-01-01,7199.80 ,7196.40 ,7259.40 ,7180.00 ,420.28K,0.05%
2020-01-02,6967.00 ,7199.70 ,7209.60 ,6901.40 ,632.78K,-3.23%
2020-01-03,7343.10 ,6967.10 ,7402.90 ,6884.10 ,936.29K,5.40%
2020-01-04,7376.80 ,7345.10 ,7433.10 ,7291.40 ,523.91K,0.46%
2020-01-05,7372.50 ,7376.80 ,7501.00 ,7345.60 ,628.14K,-0.06%
2020-01-06,7759.10 ,7372.60 ,7783.10 ,7366.70 ,786.75K,5.24%
2020-01-07,8155.70 ,7759.10 ,8182.00 ,7754.10 ,1.01M,5.11%
2020-01-08,8059.60 ,8154.20 ,8436.40 ,7900.80 ,1.19M,-1.18%
2020-01-09,7842.40 ,8060.00 ,8065.90 ,7779.20 ,786.50K,-2.70%
2020-01-10,8187.10 ,7842.50 ,8187.40 ,7697.70 ,1.05M,4.40%
2020-01-11,8024.10 ,8187.80 ,8262.90 ,8008.40 ,776.75K,-1.99%
2020-01-12,8187.60 ,8023.30 ,8189.90 ,7973.10 ,595.22K,2.04%
2020-01-13,8111.40 ,8188.30 ,8196.70 ,8068.40 ,610.66K,-0.93%
2020-01-14,8829.20 ,8111.20 ,8898.70 ,8111.20 ,1.48M,8.85%
2020-01-15,8818.30 ,8827.90 ,8904.00 ,8615.50 ,1.17M,-0.12%
2020-01-16,8726.90 ,8818.10 ,8850.00 ,8605.80 ,748.32K,-1.04%
2020-01-17,8913.10 ,8726.70 ,9005.10 ,8675.90 ,794.11K,2.13%
2020-01-18,8916.30 ,8913.00 ,8982.30 ,8814.60 ,627.74K,0.04%
2020-01-19,8706.20 ,8916.30 ,9183.70 ,8552.80 ,975.01K,-2.36%
2020-01-20,8641.90 ,8705.70 ,8740.10 ,8539.20 ,599.06K,-0.74%
2020-01-21,8732.60 ,8642.00 ,8770.30 ,8524.00 ,540.20K,1.05%
2020-01-22,8678.50 ,8733.00 ,8805.40 ,8610.80 ,509.06K,-0.62%
2020-01-23,8405.10 ,8678.50 ,8687.30 ,8309.60 ,722.67K,-3.15%
2020-01-24,8439.90 ,8404.90 ,8522.00 ,8242.60 ,617.02K,0.41%
2020-01-25,8341.60 ,8439.90 ,8447.60 ,8277.20 ,444.00K,-1.17%
2020-01-26,8607.80 ,8341.60 ,8607.80 ,8304.90 ,468.34K,3.19%
